Species,North America,South America,Africa,Asia,Europe,Oceania
Cinnamon Teal,1,1,6,6,6,6
Red Shoveler,6,1,6,6,6,6
Cape Shoveler,6,6,1,6,6,6
Australasian Shoveler,6,6,6,6,6,1
Northern Shoveler,1,3,2,1,1,5
Gadwall,1,6,4,1,1,6
Falcated Duck,4,6,6,1,6,6
Eurasian Wigeon,2,6,3,1,1,6
American Wigeon,1,4,6,3,4,6
Chiloe Wigeon,6,1,6,6,5,6
Amsterdam Duck,6,6,6,6,6,6
African Black Duck,6,6,1,6,6,6
Yellow-billed Duck,6,6,1,6,6,6
Meller's Duck,6,6,6,6,6,6
Pacific Black Duck,6,6,6,3,6,1
Laysan Duck,3,6,6,6,6,6
Hawaiian Duck,2,6,6,6,6,6
Philippine Duck,6,6,6,6,6,6
Indian Spot-billed Duck,6,6,6,1,6,6
Eastern Spot-billed Duck,4,6,6,1,6,6
Mallard,1,1,2,1,1,1
Mexican Duck,2,6,6,6,6,6
American Black Duck,1,6,6,6,3,6
Mottled Duck,1,6,6,6,6,6
Cape Teal,6,6,1,6,6,6
White-cheeked Pintail,4,1,6,6,3,6
Red-billed Duck,6,6,1,6,6,6
Northern Pintail,1,6,3,1,1,6
Eaton's Pintail,6,6,6,6,6,6
Yellow-billed Pintail,6,1,6,6,6,6
Green-winged Teal,1,6,3,1,1,6
Andean Teal,6,1,6,6,6,6
Yellow-billed Teal,6,1,6,6,6,6
Mauritius Duck,6,6,6,6,6,6
Andaman Teal,6,6,6,3,6,6
Sunda Teal,6,6,6,2,6,6
Gray Teal,6,6,6,6,6,1
Chestnut Teal,6,6,6,6,6,1
Bernier's Teal,6,6,6,6,6,6
Auckland Islands Teal,6,6,6,6,6,4
Campbell Islands Teal,6,6,6,6,6,4
Brown Teal,6,6,6,6,6,1
Pink-eared Duck,6,6,6,6,6,1
Marbled Duck,6,6,6,5,1,6
Pink-headed Duck,6,6,6,6,6,6
White-winged Duck,6,6,6,3,6,6
Red-crested Pochard,6,6,6,1,1,6
Southern Pochard,6,3,1,6,6,6
Rosy-billed Pochard,6,1,6,6,5,6
Canvasback,1,6,6,5,6,6
Redhead,1,6,6,6,6,6
Common Pochard,3,6,6,1,1,6
Ring-necked Duck,1,6,6,3,2,6
Ferruginous Duck,6,6,2,1,1,6
Madagascar Pochard,6,6,6,6,6,6
Baer's Pochard,6,6,6,2,6,6
Hardhead,6,6,6,6,6,1
Tufted Duck,3,6,4,1,1,6
New Zealand Scaup,6,6,6,6,6,1
Greater Scaup,1,6,6,1,1,6
Lesser Scaup,1,4,6,6,3,6
Steller's Eider,2,6,6,6,3,6
Labrador Duck,6,6,6,6,6,6
Spectacled Eider,2,6,6,6,6,6
King Eider,2,6,6,6,4,6
Common Eider,1,6,6,6,1,6
Harlequin Duck,1,6,6,2,6,6
Surf Scoter,1,6,6,6,3,6
Velvet Scoter,6,6,6,6,1,6
White-winged Scoter,1,6,6,5,6,6
Stejneger's Scoter,3,6,6,3,5,6
Common Scoter,5,6,6,6,1,6
Black Scoter,1,6,6,2,6,6
Long-tailed Duck,1,6,6,3,2,6
Bufflehead,1,6,6,6,6,6
Common Goldeneye,1,6,6,2,1,6
Barrow's Goldeneye,1,6,6,6,6,6
Smew,3,6,6,2,2,6
Hooded Merganser,1,6,6,6,5,6
Auckland Islands Merganser,6,6,6,6,6,6
Common Merganser,1,6,6,1,1,6
Brazilian Merganser,6,4,6,6,6,6
Red-breasted Merganser,1,6,6,2,1,6
Scaly-sided Merganser,6,6,6,3,6,6
Black-headed Duck,6,2,6,6,6,6
Masked Duck,3,2,6,6,6,6
Ruddy Duck,1,6,6,6,3,6
Andean Duck,6,1,6,6,6,6
White-headed Duck,6,6,6,3,1,6
Maccoa Duck,6,6,2,6,6,6
Lake Duck,6,1,6,6,6,6
Blue-billed Duck,6,6,6,6,6,1
Musk Duck,6,6,6,6,6,1
Australian Brushturkey,6,6,6,6,6,1
Wattled Brushturkey,6,6,6,6,6,6
Waigeo Brushturkey,6,6,6,6,6,6
Red-billed Brushturkey,6,6,6,4,6,6
Yellow-legged Brushturkey,6,6,6,4,6,3
Red-legged Brushturkey,6,6,6,4,6,5
Malleefowl,6,6,6,6,6,2
Maleo,6,6,6,4,6,6
Moluccan Megapode,6,6,6,5,6,6
Tongan Megapode,6,6,6,6,6,6
Micronesian Megapode,6,6,6,6,6,6
Nicobar Megapode,6,6,6,4,6,6
Philippine Megapode,6,6,6,3,6,6
Sula Megapode,6,6,6,6,6,6
Tanimbar Megapode,6,6,6,6,6,6
Dusky Megapode,6,6,6,2,6,6
Biak Megapode,6,6,6,4,6,6
Melanesian Megapode,6,6,6,6,6,3
Vanuatu Megapode,6,6,6,6,6,6
New Guinea Megapode,6,6,6,6,6,6
Orange-footed Megapode,6,6,6,3,6,1
Plain Chachalaca,2,6,6,6,6,6
Gray-headed Chachalaca,6,3,6,6,6,6
Chestnut-winged Chachalaca,6,1,6,6,6,6
Rufous-vented Chachalaca,6,1,6,6,6,6
