Species,North America,South America,Africa,Asia,Europe,Oceania
Rufous Fishing-Owl,6,6,6,6,6,6
Vermiculated Fishing-Owl,6,6,6,6,6,6
Northern Hawk Owl,2,6,6,6,6,6
Eurasian Pygmy-Owl,6,6,6,5,3,6
Pearl-spotted Owlet,6,6,1,6,6,6
Northern Pygmy-Owl,2,6,6,6,6,6
Costa Rican Pygmy-Owl,6,6,6,6,6,6
Cloud-forest Pygmy-Owl,6,3,6,6,6,6
Andean Pygmy-Owl,6,2,6,6,6,6
Yungas Pygmy-Owl,6,2,6,6,6,6
Subtropical Pygmy-Owl,6,5,6,6,6,6
Central American Pygmy-Owl,4,6,6,6,6,6
Tamaulipas Pygmy-Owl,5,6,6,6,6,6
Colima Pygmy-Owl,2,6,6,6,6,6
Amazonian Pygmy-Owl,6,1,6,6,6,6
Pernambuco Pygmy-Owl,6,6,6,6,6,6
Least Pygmy-Owl,6,2,6,6,6,6
Ferruginous Pygmy-Owl,3,1,6,6,6,6
Austral Pygmy-Owl,6,1,6,6,6,6
Peruvian Pygmy-Owl,6,1,6,6,6,6
Cuban Pygmy-Owl,1,6,6,6,6,6
Red-chested Owlet,6,6,5,6,6,6
Sjöstedt's Owlet,6,6,6,6,6,6
Asian Barred Owlet,6,6,6,1,6,6
Javan Owlet,6,6,6,6,6,6
Jungle Owlet,6,6,6,1,6,6
Chestnut-backed Owlet,6,6,6,6,6,6
African Barred Owlet,6,6,3,6,6,6
Albertine Owlet,6,6,6,6,6,6
Collared Owlet,6,6,6,1,6,6
Sunda Owlet,6,6,6,3,6,6
Elf Owl,2,6,6,6,6,6
Long-whiskered Owlet,6,3,6,6,6,6
Spotted Owlet,6,6,6,1,6,6
Little Owl,6,6,3,2,1,2
Forest Owlet,6,6,6,3,6,6
West Solomons Owl,6,6,6,6,6,5
Guadalcanal Owl,6,6,6,6,6,6
Malaita Owl,6,6,6,6,6,6
Makira Owl,6,6,6,6,6,6
White-browed Owl,6,6,6,6,6,6
Burrowing Owl,1,1,6,6,6,6
Mottled Owl,5,1,6,6,6,6
Black-and-white Owl,2,3,6,6,6,6
Black-banded Owl,6,2,6,6,6,6
Rufous-banded Owl,6,2,6,6,6,6
Spotted Wood-Owl,6,6,6,3,6,6
Mottled Wood-Owl,6,6,6,1,6,6
Brown Wood-Owl,6,6,6,1,6,6
Tawny Owl,6,6,6,3,1,6
Maghreb Owl,6,6,6,6,4,6
Himalayan Owl,6,6,6,3,6,6
Desert Owl,6,6,6,6,6,6
Omani Owl,6,6,6,6,6,6
Spotted Owl,2,6,6,6,6,6
Barred Owl,1,6,6,6,6,6
Cinereous Owl,4,6,6,6,6,6
Fulvous Owl,2,6,6,6,6,6
Rusty-barred Owl,6,2,6,6,6,6
Rufous-legged Owl,6,2,6,6,6,6
Chaco Owl,6,3,6,6,6,6
Ural Owl,6,6,6,6,6,6
Great Gray Owl,2,6,6,6,6,6
African Wood-Owl,6,6,2,6,6,6
Jamaican Owl,6,6,6,6,6,6
Long-eared Owl,2,6,6,3,1,6
Abyssinian Owl,6,6,6,6,6,6
Madagascar Owl,6,6,6,6,6,6
Striped Owl,5,1,6,6,6,6
Stygian Owl,5,2,6,6,6,6
Short-eared Owl,1,1,6,2,1,6
Marsh Owl,6,6,3,6,6,6
Fearful Owl,6,6,6,6,6,6
Boreal Owl,2,6,6,5,3,6
Northern Saw-whet Owl,2,6,6,6,6,6
Bermuda Saw-whet Owl,6,6,6,6,6,6
Unspotted Saw-whet Owl,3,6,6,6,6,6
Buff-fronted Owl,6,3,6,6,6,6
Rufous Owl,6,6,6,4,6,2
Powerful Owl,6,6,6,6,6,1
Barking Owl,6,6,6,5,6,2
Sumba Boobook,6,6,6,5,6,6
Andaman Boobook,6,6,6,2,6,6
Australian Boobook,6,6,6,6,6,1
Rote Boobook,6,6,6,4,6,6
Timor Boobook,6,6,6,5,6,6
Alor Boobook,6,6,6,5,6,6
Tasmanian Boobook,6,6,6,6,6,2
Morepork,6,6,6,6,6,1
Laughing Owl,6,6,6,6,6,6
Least Boobook,6,6,6,5,6,6
Brown Boobook,6,6,6,1,6,6
Hume's Boobook,6,6,6,2,6,6
Northern Boobook,5,6,6,2,6,6
Chocolate Boobook,6,6,6,6,6,6
Luzon Boobook,6,6,6,6,6,6
Mindanao Boobook,6,6,6,6,6,6
Mindoro Boobook,6,6,6,6,6,6
Romblon Boobook,6,6,6,6,6,6
Cebu Boobook,6,6,6,6,6,6
Camiguin Boobook,6,6,6,6,6,6
Sulu Boobook,6,6,6,6,6,6
Ochre-bellied Boobook,6,6,6,3,6,6
Togian Boobook,6,6,6,6,6,6
Cinnabar Boobook,6,6,6,4,6,6
Halmahera Boobook,6,6,6,4,6,6
Tanimbar Boobook,6,6,6,5,6,6
Seram Boobook,6,6,6,5,6,6
Buru Boobook,6,6,6,5,6,6
Christmas Island Boobook,6,6,6,6,6,6
Papuan Boobook,6,6,6,3,6,3
Manus Boobook,6,6,6,6,6,5
Speckled Boobook,6,6,6,3,6,6
Bismarck Boobook,6,6,6,6,6,6
New Britain Boobook,6,6,6,6,6,6
Papuan Owl,6,6,6,4,6,6
Speckled Mousebird,6,6,1,6,6,6
White-headed Mousebird,6,6,2,6,6,6
Red-backed Mousebird,6,6,6,6,6,6
White-backed Mousebird,6,6,1,6,6,6
Blue-naped Mousebird,6,6,1,6,6,6
Red-faced Mousebird,6,6,1,6,6,6
Cuckoo-roller,6,6,6,6,6,6
Narina Trogon,6,6,2,6,6,6
Bare-cheeked Trogon,6,6,6,6,6,6
Bar-tailed Trogon,6,6,3,6,6,6
Javan Trogon,6,6,6,3,6,6
Sumatran Trogon,6,6,6,3,6,6
Orange-breasted Trogon,6,6,6,1,6,6
Malabar Trogon,6,6,6,1,6,6
Red-naped Trogon,6,6,6,4,6,6
Diard's Trogon,6,6,6,3,6,6
Philippine Trogon,6,6,6,6,6,6
Whitehead's Trogon,6,6,6,5,6,6
Cinnamon-rumped Trogon,6,6,6,5,6,6
Scarlet-rumped Trogon,6,6,6,3,6,6
Red-headed Trogon,6,6,6,1,6,6
Ward's Trogon,6,6,6,3,6,6
Eared Quetzal,4,6,6,6,6,6
Pavonine Quetzal,6,3,6,6,6,6
Golden-headed Quetzal,6,1,6,6,6,6
Resplendent Quetzal,1,6,6,6,6,6
White-tipped Quetzal,6,2,6,6,6,6
Crested Quetzal,6,2,6,6,6,6
Cuban Trogon,2,6,6,6,6,6
Hispaniolan Trogon,6,6,6,6,6,6
Lattice-tailed Trogon,6,6,6,6,6,6
Slaty-tailed Trogon,2,3,6,6,6,6
Blue-tailed Trogon,6,3,6,6,6,6
Ecuadorian Trogon,6,4,6,6,6,6
Black-tailed Trogon,6,1,6,6,6,6
Black-headed Trogon,1,6,6,6,6,6
Citreoline Trogon,1,6,6,6,6,6
White-tailed Trogon,6,1,6,6,6,6
Green-backed Trogon,6,1,6,6,6,6
Baird's Trogon,6,6,6,6,6,6
Gartered Trogon,1,2,6,6,6,6
Guianan Trogon,6,3,6,6,6,6
Amazonian Trogon,6,2,6,6,6,6
Blue-crowned Trogon,6,1,6,6,6,6
Surucua Trogon,6,1,6,6,6,6
Northern Black-throated Trogon,6,6,6,6,6,6
Choco Black-throated Trogon,6,3,6,6,6,6
Amazonian Black-throated Trogon,6,2,6,6,6,6
Atlantic Black-throated Trogon,6,1,6,6,6,6
Elegant Trogon,2,6,6,6,6,6
Mountain Trogon,1,6,6,6,6,6
Collared Trogon,1,1,6,6,6,6
Masked Trogon,6,1,6,6,6,6
Eurasian Hoopoe,5,6,1,1,1,6
Madagascar Hoopoe,6,6,6,6,6,6
St. Helena Hoopoe,6,6,6,6,6,6
Green Woodhoopoe,6,6,1,6,6,6
Violet Woodhoopoe,6,6,3,6,6,6
Black-billed Woodhoopoe,6,6,6,6,6,6
White-headed Woodhoopoe,6,6,3,6,6,6
Forest Scimitarbill,6,6,6,6,6,6
Black Scimitarbill,6,6,5,6,6,6
Common Scimitarbill,6,6,1,6,6,6
Abyssinian Scimitarbill,6,6,1,6,6,6
Abyssinian Ground-Hornbill,6,6,5,6,6,6
Southern Ground-Hornbill,6,6,1,6,6,6
Red-billed Dwarf Hornbill,6,6,5,6,6,6
Crowned Hornbill,6,6,1,6,6,6
Bradfield's Hornbill,6,6,6,6,6,6
West African Pied Hornbill,6,6,6,6,6,6
Congo Pied Hornbill,6,6,6,6,6,6
Hemprich's Hornbill,6,6,3,6,6,6
African Gray Hornbill,6,6,1,6,6,6
Pale-billed Hornbill,6,6,4,6,6,6
Eastern Yellow-billed Hornbill,6,6,2,6,6,6
Southern Yellow-billed Hornbill,6,6,1,6,6,6
Jackson's Hornbill,6,6,3,6,6,6
Von der Decken's Hornbill,6,6,1,6,6,6
Monteiro's Hornbill,6,6,6,6,6,6
Southern Red-billed Hornbill,6,6,1,6,6,6
Damara Red-billed Hornbill,6,6,6,6,6,6
Tanzanian Red-billed Hornbill,6,6,2,6,6,6
Western Red-billed Hornbill,6,6,6,6,6,6
Northern Red-billed Hornbill,6,6,1,6,6,6
White-crowned Hornbill,6,6,6,2,6,6
Western Long-tailed Hornbill,6,6,6,6,6,6
Eastern Long-tailed Hornbill,6,6,6,6,6,6
Western Dwarf Hornbill,6,6,6,6,6,6
Eastern Dwarf Hornbill,6,6,6,6,6,6
Yellow-casqued Hornbill,6,6,6,6,6,6
Black-casqued Hornbill,6,6,6,6,6,6
Silvery-cheeked Hornbill,6,6,1,6,6,6
Black-and-white-casqued Hornbill,6,6,2,6,6,6
Brown-cheeked Hornbill,6,6,6,6,6,6
White-thighed Hornbill,6,6,6,6,6,6
Trumpeter Hornbill,6,6,1,6,6,6
Piping Hornbill,6,6,5,6,6,6
Helmeted Hornbill,6,6,6,6,6,6
Rufous Hornbill,6,6,6,6,6,6
Rhinoceros Hornbill,6,6,6,2,6,6
Great Hornbill,6,6,6,1,6,6
Bushy-crested Hornbill,6,6,6,3,6,6
Brown Hornbill,6,6,6,3,6,6
Rusty-cheeked Hornbill,6,6,6,3,6,6
Indian Gray Hornbill,6,6,6,1,6,6
Malabar Gray Hornbill,6,6,6,1,6,6
Sri Lanka Gray Hornbill,6,6,6,6,6,6
Black Hornbill,6,6,6,3,6,6
Sulu Hornbill,6,6,6,6,6,6
Malabar Pied-Hornbill,6,6,6,1,6,6
Oriental Pied-Hornbill,6,6,6,1,6,6
Palawan Hornbill,6,6,6,6,6,6
Rufous-necked Hornbill,6,6,6,2,6,6
Knobbed Hornbill,6,6,6,3,6,6
Sumba Hornbill,6,6,6,4,6,6
Wreathed Hornbill,6,6,6,1,6,6
Plain-pouched Hornbill,6,6,6,3,6,6
Narcondam Hornbill,6,6,6,6,6,6
Blyth's Hornbill,6,6,6,2,6,3
Sulawesi Hornbill,6,6,6,3,6,6
Wrinkled Hornbill,6,6,6,4,6,6
Writhe-billed Hornbill,6,6,6,6,6,6
Writhed Hornbill,6,6,6,6,6,6
Visayan Hornbill,6,6,6,6,6,6
Luzon Hornbill,6,6,6,6,6,6
Mindoro Hornbill,6,6,6,6,6,6
Samar Hornbill,6,6,6,6,6,6
Mindanao Hornbill,6,6,6,6,6,6
Red-bearded Bee-eater,6,6,6,2,6,6
Blue-bearded Bee-eater,6,6,6,1,6,6
Purple-bearded Bee-eater,6,6,6,5,6,6
Black Bee-eater,6,6,6,6,6,6
Blue-moustached Bee-eater,6,6,6,6,6,6
Blue-headed Bee-eater,6,6,3,6,6,6
Red-throated Bee-eater,6,6,3,6,6,6
White-fronted Bee-eater,6,6,1,6,6,6
Little Bee-eater,6,6,1,6,6,6
Blue-breasted Bee-eater,6,6,4,6,6,6
Ethiopian Bee-eater,6,6,6,6,6,6
Cinnamon-chested Bee-eater,6,6,1,6,6,6
Swallow-tailed Bee-eater,6,6,2,6,6,6
Black-headed Bee-eater,6,6,6,6,6,6
Somali Bee-eater,6,6,3,6,6,6
White-throated Bee-eater,6,6,1,6,6,6
African Green Bee-eater,6,6,2,6,6,6
Arabian Green Bee-eater,6,6,6,6,6,6
Asian Green Bee-eater,6,6,6,1,6,6
Böhm's Bee-eater,6,6,3,6,6,6
Blue-throated Bee-eater,6,6,6,1,6,6
Rufous-crowned Bee-eater,6,6,6,6,6,6
Blue-cheeked Bee-eater,6,6,2,2,5,6
Olive Bee-eater,6,6,3,6,6,6
Blue-tailed Bee-eater,6,6,6,1,6,6
Rainbow Bee-eater,6,6,6,2,6,1
European Bee-eater,6,6,1,3,2,6
Chestnut-headed Bee-eater,6,6,6,1,6,6
Rosy Bee-eater,6,6,6,6,6,6
Northern Carmine Bee-eater,6,6,2,6,6,6
Southern Carmine Bee-eater,6,6,3,6,6,6
Cuban Tody,1,6,6,6,6,6
Broad-billed Tody,6,6,6,6,6,6
Narrow-billed Tody,6,6,6,6,6,6
Jamaican Tody,6,6,6,6,6,6
Puerto Rican Tody,6,6,6,6,6,6
Tody Motmot,2,3,6,6,6,6
Blue-throated Motmot,1,6,6,6,6,6
Russet-crowned Motmot,1,6,6,6,6,6
Blue-capped Motmot,2,6,6,6,6,6
Lesson's Motmot,1,6,6,6,6,6
Whooping Motmot,6,1,6,6,6,6
Trinidad Motmot,6,6,6,6,6,6
Amazonian Motmot,6,1,6,6,6,6
Andean Motmot,6,1,6,6,6,6
Rufous Motmot,6,1,6,6,6,6
Rufous-capped Motmot,6,1,6,6,6,6
Keel-billed Motmot,5,6,6,6,6,6
Broad-billed Motmot,6,1,6,6,6,6
Turquoise-browed Motmot,1,6,6,6,6,6
Blyth's Kingfisher,6,6,6,3,6,6
Common Kingfisher,6,6,3,1,1,3
Half-collared Kingfisher,6,6,3,6,6,6
Shining-blue Kingfisher,6,6,5,6,6,6
Blue-eared Kingfisher,6,6,6,1,6,6
Malaysian Blue-banded Kingfisher,6,6,6,3,6,6
Javan Blue-banded Kingfisher,6,6,6,4,6,6
Small Blue Kingfisher,6,6,6,1,6,6
Azure Kingfisher,6,6,6,3,6,1
Bismarck Kingfisher,6,6,6,6,6,6
Indigo-banded Kingfisher,6,6,6,6,6,6
Northern Silvery-Kingfisher,6,6,6,6,6,6
Southern Silvery-Kingfisher,6,6,6,6,6,6
Little Kingfisher,6,6,6,5,6,2
Black-backed Dwarf-Kingfisher,6,6,6,2,6,6
Rufous-backed Dwarf-Kingfisher,6,6,6,2,6,6
Philippine Dwarf-Kingfisher,6,6,6,6,6,6
Sangihe Dwarf-Kingfisher,6,6,6,6,6,6
Sulawesi Dwarf-Kingfisher,6,6,6,3,6,6
Dimorphic Dwarf-Kingfisher,6,6,6,6,6,6
Sula Dwarf-Kingfisher,6,6,6,6,6,6
Moluccan Dwarf-Kingfisher,6,6,6,3,6,6
Buru Dwarf-Kingfisher,6,6,6,6,6,6
Papuan Dwarf-Kingfisher,6,6,6,3,6,4
Manus Dwarf-Kingfisher,6,6,6,6,6,6
New Ireland Dwarf-Kingfisher,6,6,6,6,6,6
New Britain Dwarf-Kingfisher,6,6,6,6,6,5
New Georgia Dwarf-Kingfisher,6,6,6,6,6,6
North Solomons Dwarf-Kingfisher,6,6,6,6,6,6
Guadalcanal Dwarf-Kingfisher,6,6,6,6,6,6
Makira Dwarf-Kingfisher,6,6,6,6,6,6
Malachite Kingfisher,6,6,1,6,6,6
Malagasy Kingfisher,6,6,6,6,6,6
White-bellied Kingfisher,6,6,6,6,6,6
Madagascar Pygmy Kingfisher,6,6,6,6,6,6
African Pygmy Kingfisher,6,6,2,6,6,6
African Dwarf Kingfisher,6,6,6,6,6,6
Banded Kingfisher,6,6,6,2,6,6
Laughing Kookaburra,6,6,6,6,6,1
Blue-winged Kookaburra,6,6,6,6,6,1
Spangled Kookaburra,6,6,6,6,6,6
Rufous-bellied Kookaburra,6,6,6,2,6,3
Shovel-billed Kookaburra,6,6,6,5,6,6
Sangihe Lilac Kingfisher,6,6,6,5,6,6
Sulawesi Lilac Kingfisher,6,6,6,3,6,6
Brown-winged Kingfisher,6,6,6,2,6,6
Stork-billed Kingfisher,6,6,6,1,6,6
Great-billed Kingfisher,6,6,6,3,6,6
Ruddy Kingfisher,6,6,6,2,6,6
Chocolate-backed Kingfisher,6,6,6,6,6,6
White-throated Kingfisher,6,6,2,1,6,6
Brown-breasted Kingfisher,6,6,6,6,6,6
Gray-headed Kingfisher,6,6,1,6,6,6
Black-capped Kingfisher,6,6,6,1,6,6
Javan Kingfisher,6,6,6,6,6,6
Woodland Kingfisher,6,6,1,6,6,6
Mangrove Kingfisher,6,6,3,6,6,6
Blue-breasted Kingfisher,6,6,3,6,6,6
Brown-hooded Kingfisher,6,6,1,6,6,6
Striped Kingfisher,6,6,1,6,6,6
Blue-black Kingfisher,6,6,6,3,6,6
Rufous-lored Kingfisher,6,6,6,6,6,6
Blue-and-white Kingfisher,6,6,6,3,6,6
Lazuli Kingfisher,6,6,6,5,6,6
Red-backed Kingfisher,6,6,6,6,6,1
Forest Kingfisher,6,6,6,4,6,1
New Britain Kingfisher,6,6,6,6,6,6
Ultramarine Kingfisher,6,6,6,6,6,5
Vanuatu Kingfisher,6,6,6,6,6,6
Marquesan Kingfisher,6,6,6,6,6,6
Mewing Kingfisher,6,6,6,6,6,6
Society Kingfisher,6,6,6,6,6,6
Tuamotu Kingfisher,6,6,6,6,6,6
Chattering Kingfisher,6,6,6,6,6,6
Pacific Kingfisher,6,6,6,6,6,2
Palau Kingfisher,6,6,6,6,6,6
Guam Kingfisher,6,6,6,6,6,6
Pohnpei Kingfisher,6,6,6,6,6,6
Flat-billed Kingfisher,6,6,6,6,6,6
Colonist Kingfisher,6,6,6,6,6,5
Torresian Kingfisher,6,6,6,6,6,1
Sacred Kingfisher,6,6,6,2,6,1
Collared Kingfisher,6,6,6,1,6,6
Beach Kingfisher,6,6,6,2,6,4
Mariana Kingfisher,6,6,6,6,6,6
Melanesian Kingfisher,6,6,6,6,6,3
Sombre Kingfisher,6,6,6,4,6,6
Talaud Kingfisher,6,6,6,6,6,6
Cinnamon-banded Kingfisher,6,6,6,4,6,6
White-rumped Kingfisher,6,6,6,3,6,6
Hook-billed Kingfisher,6,6,6,3,6,4
Moustached Kingfisher,6,6,6,6,6,5
Rufous-collared Kingfisher,6,6,6,2,6,6
Spotted Kingfisher,6,6,6,6,6,6
Blue-capped Kingfisher,6,6,6,6,6,6
Green-backed Kingfisher,6,6,6,3,6,6
Scaly-breasted Kingfisher,6,6,6,3,6,6
Yellow-billed Kingfisher,6,6,6,3,6,2
Mountain Kingfisher,6,6,6,6,6,4
Little Paradise-Kingfisher,6,6,6,6,6,6
Common Paradise-Kingfisher,6,6,6,2,6,4
Kofiau Paradise-Kingfisher,6,6,6,5,6,6
Biak Paradise-Kingfisher,6,6,6,4,6,6
Numfor Paradise-Kingfisher,6,6,6,5,6,6
Red-breasted Paradise-Kingfisher,6,6,6,3,6,6
Brown-headed Paradise-Kingfisher,6,6,6,6,6,4
Buff-breasted Paradise-Kingfisher,6,6,6,6,6,2
Black-capped Paradise-Kingfisher,6,6,6,6,6,5
Giant Kingfisher,6,6,1,6,6,6
Crested Kingfisher,6,6,6,1,6,6
Ringed Kingfisher,2,1,6,6,6,6
Belted Kingfisher,1,3,6,6,6,6
Pied Kingfisher,6,6,1,1,6,6
Amazon Kingfisher,5,1,6,6,6,6
American Pygmy Kingfisher,2,1,6,6,6,6
Green Kingfisher,2,1,6,6,6,6
Green-and-rufous Kingfisher,6,1,6,6,6,6
European Roller,6,6,2,2,2,6
Abyssinian Roller,6,6,3,6,6,6
Lilac-breasted Roller,6,6,1,6,6,6
Racket-tailed Roller,6,6,4,6,6,6
Purple Roller,6,6,1,6,6,6
Indian Roller,6,6,6,1,6,6
Indochinese Roller,6,6,6,1,6,6
Purple-winged Roller,6,6,6,3,6,6
Blue-bellied Roller,6,6,6,6,6,6
Broad-billed Roller,6,6,2,6,6,6
Blue-throated Roller,6,6,6,6,6,6
Dollarbird,6,6,6,1,6,2
Azure Roller,6,6,6,6,6,6
Scaly Ground-Roller,6,6,6,6,6,6
Short-legged Ground-Roller,6,6,6,6,6,6
Long-tailed Ground-Roller,6,6,6,6,6,6
Pitta-like Ground-Roller,6,6,6,6,6,6
Rufous-headed Ground-Roller,6,6,6,6,6,6
White-necked Puffbird,3,2,6,6,6,6
Guianan Puffbird,6,3,6,6,6,6
Buff-bellied Puffbird,6,2,6,6,6,6
Black-breasted Puffbird,6,2,6,6,6,6
Brown-banded Puffbird,6,3,6,6,6,6
Pied Puffbird,6,1,6,6,6,6
Chestnut-capped Puffbird,6,3,6,6,6,6
Spotted Puffbird,6,2,6,6,6,6
Sooty-capped Puffbird,6,4,6,6,6,6
Collared Puffbird,6,3,6,6,6,6
Barred Puffbird,6,2,6,6,6,6
Western Striolated-Puffbird,6,2,6,6,6,6
Eastern Striolated-Puffbird,6,2,6,6,6,6
White-eared Puffbird,6,1,6,6,6,6
Spot-backed Puffbird,6,1,6,6,6,6
Russet-throated Puffbird,6,1,6,6,6,6
Two-banded Puffbird,6,2,6,6,6,6
White-chested Puffbird,6,3,6,6,6,6
Semicollared Puffbird,6,3,6,6,6,6
Crescent-chested Puffbird,6,1,6,6,6,6
Rufous-necked Puffbird,6,3,6,6,6,6
White-whiskered Puffbird,3,2,6,6,6,6
Black-streaked Puffbird,6,3,6,6,6,6
Moustached Puffbird,6,1,6,6,6,6
Lanceolated Monklet,6,2,6,6,6,6
Rusty-breasted Nunlet,6,2,6,6,6,6
Fulvous-chinned Nunlet,6,4,6,6,6,6
Brown Nunlet,6,5,6,6,6,6
Gray-cheeked Nunlet,6,3,6,6,6,6
Rufous-capped Nunlet,6,3,6,6,6,6
Chestnut-headed Nunlet,6,5,6,6,6,6
White-faced Nunbird,6,3,6,6,6,6
Black Nunbird,6,2,6,6,6,6
Black-fronted Nunbird,6,1,6,6,6,6
White-fronted Nunbird,6,1,6,6,6,6
Yellow-billed Nunbird,6,2,6,6,6,6
Swallow-winged Puffbird,6,1,6,6,6,6
White-eared Jacamar,6,1,6,6,6,6
Purus Jacamar,6,3,6,6,6,6
White-throated Jacamar,6,2,6,6,6,6
Brown Jacamar,6,1,6,6,6,6
Pale-headed Jacamar,6,3,6,6,6,6
Dusky-backed Jacamar,6,6,6,6,6,6
Three-toed Jacamar,6,3,6,6,6,6
Yellow-billed Jacamar,6,3,6,6,6,6
Blue-cheeked Jacamar,6,2,6,6,6,6
Rufous-tailed Jacamar,2,1,6,6,6,6
Green-tailed Jacamar,6,2,6,6,6,6
White-chinned Jacamar,6,2,6,6,6,6
Bluish-fronted Jacamar,6,1,6,6,6,6
Coppery-chested Jacamar,6,3,6,6,6,6
Purplish Jacamar,6,5,6,6,6,6
Bronzy Jacamar,6,2,6,6,6,6
Paradise Jacamar,6,1,6,6,6,6
Great Jacamar,6,2,6,6,6,6
Western Yellow-billed Barbet,6,6,6,6,6,6
Eastern Yellow-billed Barbet,6,6,3,6,6,6
Crested Barbet,6,6,1,6,6,6
Red-and-yellow Barbet,6,6,1,6,6,6
Yellow-breasted Barbet,6,6,6,6,6,6
D'Arnaud's Barbet,6,6,1,6,6,6
Green Barbet,6,6,2,6,6,6
Gray-throated Barbet,6,6,3,6,6,6
Sladen's Barbet,6,6,6,6,6,6
Bristle-nosed Barbet,6,6,6,6,6,6
Naked-faced Barbet,6,6,6,6,6,6
White-eared Barbet,6,6,1,6,6,6
Whyte's Barbet,6,6,6,6,6,6
Anchieta's Barbet,6,6,6,6,6,6
Speckled Tinkerbird,6,6,6,6,6,6
Green Tinkerbird,6,6,3,6,6,6
Moustached Tinkerbird,6,6,3,6,6,6
Western Tinkerbird,6,6,6,6,6,6
Red-rumped Tinkerbird,6,6,6,6,6,6
Yellow-throated Tinkerbird,6,6,6,6,6,6
Yellow-rumped Tinkerbird,6,6,1,6,6,6
Northern Red-fronted Tinkerbird,6,6,1,6,6,6
Southern Red-fronted Tinkerbird,6,6,2,6,6,6
Yellow-fronted Tinkerbird,6,6,1,6,6,6
Yellow-spotted Barbet,6,6,3,6,6,6
Hairy-breasted Barbet,6,6,3,6,6,6
Red-fronted Barbet,6,6,2,6,6,6
Miombo Barbet,6,6,6,6,6,6
Pied Barbet,6,6,1,6,6,6
Spot-flanked Barbet,6,6,1,6,6,6
Black-throated Barbet,6,6,2,6,6,6
Banded Barbet,6,6,6,6,6,6
Vieillot's Barbet,6,6,2,6,6,6
White-headed Barbet,6,6,2,6,6,6
Chaplin's Barbet,6,6,6,6,6,6
Red-faced Barbet,6,6,6,6,6,6
Black-billed Barbet,6,6,5,6,6,6
Black-collared Barbet,6,6,1,6,6,6
Brown-breasted Barbet,6,6,2,6,6,6
Black-backed Barbet,6,6,6,6,6,6
Double-toothed Barbet,6,6,3,6,6,6
Bearded Barbet,6,6,3,6,6,6
Black-breasted Barbet,6,6,6,6,6,6
Sooty Barbet,6,6,6,2,6,6
Brown Barbet,6,6,6,5,6,6
Malabar Barbet,6,6,6,1,6,6
Crimson-fronted Barbet,6,6,6,6,6,6
Coppersmith Barbet,6,6,6,1,6,6
Blue-eared Barbet,6,6,6,1,6,6
Black-eared Barbet,6,6,6,2,6,6
Yellow-eared Barbet,6,6,6,2,6,6
Bornean Barbet,6,6,6,5,6,6
Fire-tufted Barbet,6,6,6,3,6,6
Great Barbet,6,6,6,1,6,6
Red-vented Barbet,6,6,6,6,6,6
Red-crowned Barbet,6,6,6,3,6,6
Red-throated Barbet,6,6,6,1,6,6
Black-banded Barbet,6,6,6,2,6,6
Golden-naped Barbet,6,6,6,6,6,6
Yellow-crowned Barbet,6,6,6,3,6,6
Flame-fronted Barbet,6,6,6,2,6,6
Green-eared Barbet,6,6,6,1,6,6
Lineated Barbet,6,6,6,1,6,6
Brown-headed Barbet,6,6,6,1,6,6
White-cheeked Barbet,6,6,6,1,6,6
Yellow-fronted Barbet,6,6,6,6,6,6
Golden-throated Barbet,6,6,6,1,6,6
Necklaced Barbet,6,6,6,6,6,6
Mountain Barbet,6,6,6,5,6,6
Brown-throated Barbet,6,6,6,4,6,6
Gold-whiskered Barbet,6,6,6,2,6,6
Moustached Barbet,6,6,6,2,6,6
Taiwan Barbet,6,6,6,6,6,6
Chinese Barbet,6,6,6,2,6,6
Blue-throated Barbet,6,6,6,1,6,6
Indochinese Barbet,6,6,6,6,6,6
Black-browed Barbet,6,6,6,3,6,6
Turquoise-throated Barbet,6,6,6,6,6,6
Scarlet-crowned Barbet,6,1,6,6,6,6
Black-girdled Barbet,6,3,6,6,6,6
Spot-crowned Barbet,6,2,6,6,6,6
Orange-fronted Barbet,6,5,6,6,6,6
White-mantled Barbet,6,1,6,6,6,6
Scarlet-banded Barbet,6,3,6,6,6,6
Sira Barbet,6,6,6,6,6,6
Five-colored Barbet,6,3,6,6,6,6
Brown-chested Barbet,6,4,6,6,6,6
Black-spotted Barbet,6,3,6,6,6,6
Gilded Barbet,6,1,6,6,6,6
Lemon-throated Barbet,6,2,6,6,6,6
Scarlet-hooded Barbet,6,3,6,6,6,6
Red-headed Barbet,6,1,6,6,6,6
Versicolored Barbet,6,1,6,6,6,6
Prong-billed Barbet,6,6,6,6,6,6
Toucan Barbet,6,1,6,6,6,6
Northern Emerald-Toucanet,1,6,6,6,6,6
Southern Emerald-Toucanet,6,1,6,6,6,6
Groove-billed Toucanet,6,2,6,6,6,6
Chestnut-tipped Toucanet,6,3,6,6,6,6
Tepui Toucanet,6,6,6,6,6,6
Crimson-rumped Toucanet,6,1,6,6,6,6
Yellow-browed Toucanet,6,6,6,6,6,6
Blue-banded Toucanet,6,2,6,6,6,6
Gray-breasted Mountain-Toucan,6,1,6,6,6,6
Plate-billed Mountain-Toucan,6,4,6,6,6,6
Hooded Mountain-Toucan,6,6,6,6,6,6
Black-billed Mountain-Toucan,6,1,6,6,6,6
Saffron Toucanet,6,1,6,6,6,6
Green Aracari,6,3,6,6,6,6
