Species,Code,North America,,,,,,,
Cinnamon Teal,CITE,1,,,,,,,
Clapper Rail,CLRA,1,,,,,,,
Clark's Grebe,CLGR,1,,,,,,,
Clark's Nutcracker,CLNU,1,,,,,,,
Clay-colored Sparrow,CCSP,1,,,,,,,
Cliff Swallow,CLSW,1,,,,,,,
Common Eider,COEI,1,,,,,,,
Common Gallinule,COGA,1,,,,,,,
Common Goldeneye,COGO,1,,,,,,,
Common Grackle,COGR,1,,,,,,,
Common Ground Dove,CGDO,1,,,,,,,
Common Loon,COLO,1,,,,,,,
Common Merganser,COME,1,,,,,,,
Common Murre,COMU,1,,,,,,,
Common Nighthawk,CONI,1,,,,,,,
Common Poorwill,COPO,1,,,,,,,
Common Raven,CORA,1,,,,,,,
Common Redpoll (Redpoll),REDP,1,,,,,,,
Common Tern,COTE,1,,,,,,,
Common Yellowthroat,COYE,1,,,,,,,
Cooper's Hawk,COHA,1,,,,,,,
Cory's Shearwater,CORS,1,,,,,,,
Costa's Hummingbird,COHU,1,,,,,,,
Curve-billed Thrasher,CBTH,1,,,,,,,
Dark-eyed Junco,DEJU,1,,,,,,,
Dickcissel,DICK,1,,,,,,,
Double-crested Cormorant,DCCO,1,,,,,,,
Downy Woodpecker,DOWO,1,,,,,,,
Dunlin,DUNL,1,,,,,,,
Dusky Flycatcher,DUFL,1,,,,,,,
Eared Grebe,EAGR,1,,,,,,,
Eastern Bluebird,EABL,1,,,,,,,
Eastern Kingbird,EAKI,1,,,,,,,
Eastern Meadowlark,EAME,1,,,,,,,
Eastern Phoebe,EAPH,1,,,,,,,
Eastern Screech-Owl,EASO,1,,,,,,,
Eastern Towhee,EATO,1,,,,,,,
Eastern Whip-poor-will,EWPW,1,,,,,,,
Eastern Wood-Pewee,EAWP,1,,,,,,,
Elegant Tern,ELTE,1,,,,,,,
Eurasian Collared-Dove,EUCD,1,,,,,,,
European Starling,EUST,1,,,,,,,
Evening Grosbeak,EVGR,1,,,,,,,
Ferruginous Hawk,FEHA,1,,,,,,,
Field Sparrow,FISP,1,,,,,,,
Fish Crow,FICR,1,,,,,,,
Forster's Tern,FOTE,1,,,,,,,
Fox Sparrow,FOSP,1,,,,,,,
Franklin's Gull,FRGU,1,,,,,,,
Fulvous Whistling-Duck,FUWD,1,,,,,,,
Gadwall,GADW,1,,,,,,,
Gambel's Quail,GAQU,1,,,,,,,
Gila Woodpecker,GIWO,1,,,,,,,
Glaucous Gull,GLGU,1,,,,,,,
Glaucous-winged Gull,GWGU,1,,,,,,,
Glossy Ibis,GLIB,1,,,,,,,
Golden Eagle,GOEA,1,,,,,,,
Golden-crowned Kinglet,GCKI,1,,,,,,,
Golden-crowned Sparrow,GCSP,1,,,,,,,
Golden-fronted Woodpecker,GFWO,1,,,,,,,
Grace's Warbler,GRWA,1,,,,,,,
Grasshopper Sparrow,GRSP,1,,,,,,,
Gray Catbird,GRCA,1,,,,,,,
Gray Flycatcher,GRFL,1,,,,,,,
Gray-cheeked Thrush,GCTH,1,,,,,,,
Gray-crowned Rosy-Finch,GCRF,1,,,,,,,
Great Black-backed Gull,GBBG,1,,,,,,,
Great Blue Heron,GBHE,1,,,,,,,
Great Cormorant,GRCO,1,,,,,,,
Great Crested Flycatcher,GCFL,1,,,,,,,
Great Egret,GREG,1,,,,,,,
Great Horned Owl,GHOW,1,,,,,,,
Great Shearwater,GRSH,1,,,,,,,
Great-tailed Grackle,GTGR,1,,,,,,,
Greater Roadrunner,GRRO,1,,,,,,,
Greater Sage-Grouse,GRSG,1,,,,,,,
Greater Scaup,GRSC,1,,,,,,,
Greater White-fronted Goose,GWFG,1,,,,,,,
Greater Yellowlegs,GRYE,1,,,,,,,
Green Heron,GRHE,1,,,,,,,
Green-tailed Towhee,GTTO,1,,,,,,,
Green-winged Teal,GWTE,1,,,,,,,
Gull-billed Tern,GBTE,1,,,,,,,
Hairy Woodpecker,HAWO,1,,,,,,,
Hammond's Flycatcher,HAFL,1,,,,,,,
Harlequin Duck,HADU,1,,,,,,,
Harris's Hawk,HASH,1,,,,,,,
Harris's Sparrow,HASP,1,,,,,,,
Heermann's Gull,HEEG,1,,,,,,,
Hermit Thrush,HETH,1,,,,,,,
Hermit Warbler,HEWA,1,,,,,,,
Hooded Merganser,HOME,1,,,,,,,
Hooded Oriole,HOOR,1,,,,,,,
Hooded Warbler,HOWA,1,,,,,,,
Horned Grebe,HOGR,1,,,,,,,
Horned Lark,HOLA,1,,,,,,,
Horned Puffin,HOPU,1,,,,,,,
House Finch,HOFI,1,,,,,,,
House Sparrow,HOSP,1,,,,,,,
Hudsonian Godwit,HUGO,1,,,,,,,
Hutton's Vireo,HUVI,1,,,,,,,
Iceland Gull,ICGU,1,,,,,,,
Inca Dove,INDO,1,,,,,,,
Indigo Bunting,INBU,1,,,,,,,
Juniper Titmouse,JUTI,1,,,,,,,
Kentucky Warbler,KEWA,1,,,,,,,
Killdeer,KILL,1,,,,,,,
King Rail,KIRA,1,,,,,,,
Ladder-backed Woodpecker,LBWO,1,,,,,,,
Lapland Longspur,LALO,1,,,,,,,
Lark Bunting,LARB,1,,,,,,,
Lark Sparrow,LASP,1,,,,,,,
Laughing Gull,LAGU,1,,,,,,,
Lazuli Bunting,LAZB,1,,,,,,,
Leach's Storm-Petrel,LESP,1,,,,,,,
Least Bittern,LEBI,1,,,,,,,
Least Flycatcher,LEFL,1,,,,,,,
Least Sandpiper,LESA,1,,,,,,,
Least Tern,LETE,1,,,,,,,
LeConte's Sparrow,LCSP,1,,,,,,,
Lesser Goldfinch,LEGO,1,,,,,,,
Lesser Nighthawk,LENI,1,,,,,,,
Lesser Scaup,LESC,1,,,,,,,
Lesser Yellowlegs,LEYE,1,,,,,,,
Lewis's Woodpecker,LEWO,1,,,,,,,
Lincoln's Sparrow,LISP,1,,,,,,,
Little Blue Heron,LBHE,1,,,,,,,
Loggerhead Shrike,LOSH,1,,,,,,,
Long-billed Curlew,LBCU,1,,,,,,,
Long-billed Dowitcher,LBDO,1,,,,,,,
Long-tailed Duck,LTDU,1,,,,,,,
Long-tailed Jaeger,LTJA,1,,,,,,,
